"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"aesop_000","The Wolf And The Kid","Do not let anything turn you from your purpose.","","","","aesop_children_19994","0","",""
"aesop_001","The Tortoise And The Ducks","Foolish curiosity and vanity often lead to misfortune.","","","","aesop_children_19994","0","",""
"aesop_002","The Young Crab And His Mother","Do not tell others how to act unless you can set a good example.","","","","aesop_children_19994","0","",""
"aesop_003","The Frogs And The Ox","Do not attempt the impossible.","","","","aesop_children_19994","0","",""
"aesop_004","The Dog, The Cock, And The Fox","Those who try to deceive may expect to be paid in their own coin.","","","","aesop_children_19994","0","",""
"aesop_005","Belling The Cat","It is one thing to say that something should be done, but quite a different matter to do it.","","","","aesop_children_19994","0","",""
"aesop_006","The Eagle And The Jackdaw","Do not let your vanity make you overestimate your powers.","","","","aesop_children_19994","0","",""
"aesop_007","The Boy And The Filberts","Do not attempt too much at once.","","","","aesop_children_19994","0","",""
"aesop_008","Hercules And The Wagoner","Heaven helps those who help themselves.","","","","aesop_children_19994","0","",""
"aesop_009","The Kid And The Wolf","Do not say anything at any time that you would not say at all times.","","","","aesop_children_19994","0","",""
"aesop_010","The Town Mouse And The Country Mouse","Poverty with security is better than plenty in the midst of fear and uncertainty.","","","","aesop_children_19994","0","",""
"aesop_011","The Fox And The Grapes","There are many who pretend to despise and belittle that which is beyond their reach.","","","","aesop_children_19994","0","",""
"aesop_012","The Bundle Of Sticks","In unity is strength.","","","","aesop_children_19994","0","",""
"aesop_013","The Wolf And The Crane","Expect no reward for serving the wicked.","","","","aesop_children_19994","0","",""
"aesop_014","The Ass And His Driver","They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune.","","","","aesop_children_19994","0","",""
"aesop_015","The Oxen And The Wheels","They complain most who suffer least.","","","","aesop_children_19994","0","",""
"aesop_016","The Lion And The Mouse","A kindness is never wasted.","","","","aesop_children_19994","0","",""
"aesop_017","The Shepherd Boy And The Wolf","Liars are not believed even when they speak the truth.","","","","aesop_children_19994","0","",""
"aesop_018","The Gnat And The Bull","The smaller the mind the greater the conceit.","","","","aesop_children_19994","0","",""
"aesop_019","The Plane Tree","Our best blessings are often the least appreciated.","","","","aesop_children_19994","0","",""
"aesop_020","The Farmer And The Stork","You are judged by the company you keep.","","","","aesop_children_19994","0","",""
"aesop_021","The Sheep And The Pig","It is easy to be brave when there is no danger.","","","","aesop_children_19994","0","",""
"aesop_022","The Travelers And The Purse","We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.","","","","aesop_children_19994","0","",""
"aesop_023","The Lion And The Ass","Do not resent the remarks of a fool. Ignore them.","","","","aesop_children_19994","0","",""
"aesop_024","The Frogs Who Wished For A King","Be sure you can better your condition before you seek to change.","","","","aesop_children_19994","0","",""
"aesop_025","The Owl And The Grasshopper","Do not let flattery throw you off your guard against an enemy.","","","","aesop_children_19994","0","",""
"aesop_026","The Wolf And His Shadow","Do not let your fancy make you forget realities.","","","","aesop_children_19994","0","",""
"aesop_027","The Oak And The Reeds","Better to yield when it is folly to resist, than to resist stubbornly and be destroyed.","","","","aesop_children_19994","0","",""
"aesop_028","The Rat And The Elephant","A resemblance to the great in some things does not make us great.","","","","aesop_children_19994","0","",""
"aesop_029","The Boys And The Frogs","Always stop to think whether your fun may not be the cause of another's unhappiness.","","","","aesop_children_19994","0","",""
"aesop_030","The Crow And The Pitcher","In a pinch a good use of our wits may help us out.","","","","aesop_children_19994","0","",""
"aesop_031","The Ants And The Grasshopper","There's a time for work and a time for play.","","","","aesop_children_19994","0","",""
"aesop_032","The Ass Carrying The Image","Do not try to take the credit to yourself that is due to others.","","","","aesop_children_19994","0","",""
"aesop_033","A Raven And A Swan","A change of habits will not alter nature.","","","","aesop_children_19994","0","",""
"aesop_034","The Two Goats","It is better to yield than to come to misfortune through stubbornness.","","","","aesop_children_19994","0","",""
"aesop_035","The Ass And The Load Of Salt","The same measures will not suit all circumstances.","","","","aesop_children_19994","0","",""
"aesop_036","The Lion And The Gnat","Pride over a success should not throw us off our guard.","","","","aesop_children_19994","0","",""
"aesop_037","The Leap At Rhodes","Deeds count, not boasting words.","","","","aesop_children_19994","0","",""
"aesop_038","The Cock And The Jewel","Precious things are without value to those who cannot prize them.","","","","aesop_children_19994","0","",""
"aesop_039","The Monkey And The Camel","Do not try to ape your betters.","","","","aesop_children_19994","0","",""
"aesop_040","The Wild Boar And The Fox","Preparedness for war is the best guarantee of peace.","","","","aesop_children_19994","0","",""
"aesop_041","The Ass, The Fox, And The Lion","Traitors may expect treachery.","","","","aesop_children_19994","0","",""
"aesop_042","The Birds, The Beasts, And The Bat","The deceitful have no friends.","","","","aesop_children_19994","0","",""
"aesop_043","The Lion, The Bear, And The Fox","Those who have all the toil do not always get the profit.","","","","aesop_children_19994","0","",""
"aesop_044","The Wolf And The Lamb","The unjust will not listen to the reasoning of the innocent.","","","","aesop_children_19994","0","",""
"aesop_045","The Wolf And The Sheep","A knave's hypocrisy is easily seen through.","","","","aesop_children_19994","0","",""
"aesop_046","The Hares And The Frogs","However unfortunate we may think we are there is always someone worse off than ourselves.","","","","aesop_children_19994","0","",""
"aesop_047","The Fox And The Stork","Do not play tricks on your neighbors unless you can stand the same treatment yourself.","","","","aesop_children_19994","0","",""
"aesop_048","The Travelers And The Sea","Do not let your hopes carry you away from reality.","","","","aesop_children_19994","0","",""
"aesop_049","The Wolf And The Lion","What is evil won is evil lost.","","","","aesop_children_19994","0","",""
"aesop_050","The Stag And His Reflection","We often make much of the ornamental and despise the useful.","","","","aesop_children_19994","0","",""
"aesop_051","The Peacock","Do not sacrifice your freedom for the sake of pomp and show.","","","","aesop_children_19994","0","",""
"aesop_052","The Mice And The Weasels","Greatness has its penalties.","","","","aesop_children_19994","0","",""
"aesop_053","The Wolf And The Lean Dog","Take what you can get when you can get it.","","","","aesop_children_19994","0","",""
"aesop_054","The Fox And The Lion","Acquaintance with evil blinds us to its dangers.","","","","aesop_children_19994","0","",""
"aesop_055","The Lion And The Ass","The loud-mouthed boaster does not impress nor frighten those who know him.","","","","aesop_children_19994","0","",""
"aesop_056","The Dog And His Master'S Dinner","Do not stop to argue with temptation.","","","","aesop_children_19994","0","",""
"aesop_057","The Vain Jackdaw And His Borrowed Feathers","Borrowed feathers do not make fine birds.","","","","aesop_children_19994","0","",""
"aesop_058","The Monkey And The Dolphin","One falsehood leads to another.","","","","aesop_children_19994","0","",""
"aesop_059","The Wolf And The Ass","Stick to your trade.","","","","aesop_children_19994","0","",""
"aesop_060","The Monkey And The Cat","The flatterer seeks some benefit at your expense.","","","","aesop_children_19994","0","",""
"aesop_061","The Dogs And The Fox","It is easy and also contemptible to kick a man that is down.","","","","aesop_children_19994","0","",""
"aesop_062","The Dogs And The Hides","Do not try to do impossible things.","","","","aesop_children_19994","0","",""
"aesop_063","The Rabbit, The Weasel, And The Cat","The strong are apt to settle questions to their own advantage.","","","","aesop_children_19994","0","",""
"aesop_064","The Bear And The Bees","It is wiser to bear a single injury in silence than to provoke a thousand by flying into a rage.","","","","aesop_children_19994","0","",""
"aesop_065","The Fox And The Leopard","A fine coat is not always an indication of an attractive mind.","","","","aesop_children_19994","0","",""
"aesop_066","The Heron","Do not be too hard to suit or you may have to be content with the worst or with nothing at all.","","","","aesop_children_19994","0","",""
"aesop_067","The Cock And The Fox","The trickster is easily tricked.","","","","aesop_children_19994","0","",""
"aesop_068","The Dog In The Manger","Do not grudge others what you cannot enjoy yourself.","","","","aesop_children_19994","0","",""
"aesop_069","The Wolf And The Goat","An invitation prompted by selfishness is not to be accepted.","","","","aesop_children_19994","0","",""
"aesop_070","The Ass And The Grasshoppers","The laws of nature are unchangeable.","","","","aesop_children_19994","0","",""
"aesop_071","The Mule","Be sure of your pedigree before you boast of it.","","","","aesop_children_19994","0","",""
"aesop_072","The Fox And The Goat","Look before you leap.","","","","aesop_children_19994","0","",""
"aesop_073","The Cat, The Cock, And The Young Mouse","Do not trust alone to outward appearances.","","","","aesop_children_19994","0","",""
"aesop_074","The Wolf And The Shepherd","Once a wolf, always a wolf.","","","","aesop_children_19994","0","",""
"aesop_075","The Peacock And The Crane","The useful is of much more importance and value, than the ornamental.","","","","aesop_children_19994","0","",""
"aesop_076","The Farmer And The Cranes","Bluff is no proof that hard fists are lacking.","","","","aesop_children_19994","0","",""
"aesop_077","The Farmer And His Sons","Industry is itself a treasure.","","","","aesop_children_19994","0","",""
"aesop_078","The Two Pots","Equals make the best friends.","","","","aesop_children_19994","0","",""
"aesop_079","The Goose And The Golden Egg","Those who have plenty want more and so lose all they have.","","","","aesop_children_19994","0","",""
"aesop_080","The Fighting Bulls And The Frog","When the great fall out, the weak must suffer for it.","","","","aesop_children_19994","0","",""
"aesop_081","The Mouse And The Weasel","Greediness leads to misfortune.","","","","aesop_children_19994","0","",""
"aesop_082","The Farmer And The Snake","Learn from my fate not to take pity on a scoundrel.","","","","aesop_children_19994","0","",""
"aesop_083","The Sick Stag","Good will is worth nothing unless it is accompanied by good acts.","","","","aesop_children_19994","0","",""
"aesop_084","The Goatherd And The Wild Goats","It is unwise to treat old friends badly for the sake of new ones.","","","","aesop_children_19994","0","",""
"aesop_085","The Spendthrift And The Swallow","One swallow does not make a summer.","","","","aesop_children_19994","0","",""
"aesop_086","The Cat And The Birds","Be wise and shun the quack.","","","","aesop_children_19994","0","",""
"aesop_087","The Dog And The Oyster","Act in haste and repent at leisure--and often in pain.","","","","aesop_children_19994","0","",""
"aesop_088","The Astrologer","Take care of the little things and the big things will take care of themselves.","","","","aesop_children_19994","0","",""
"aesop_089","Three Bullocks And A Lion","In unity is strength.","","","","aesop_children_19994","0","",""
"aesop_090","Mercury And The Woodman","Honesty is the best policy.","","","","aesop_children_19994","0","",""
"aesop_091","The Frog And The Mouse","Those who seek to harm others often come to harm themselves through their own deceit.","","","","aesop_children_19994","0","",""
"aesop_092","The Fox And The Crab","Be content with your lot.","","","","aesop_children_19994","0","",""
"aesop_093","The Serpent And The Eagle","An act of kindness is well repaid.","","","","aesop_children_19994","0","",""
"aesop_094","The Wolf In Sheep'S Clothing","The evil doer often comes to harm through his own deceit.","","","","aesop_children_19994","0","",""
"aesop_095","The Bull And The Goat","It is wicked to take advantage of another's distress.","","","","aesop_children_19994","0","",""
"aesop_096","The Eagle And The Beetle","Even the weakest may find means to avenge a wrong.","","","","aesop_children_19994","0","",""
"aesop_097","The Old Lion And The Fox","Take warning from the misfortunes of others.","","","","aesop_children_19994","0","",""
"aesop_098","The Man And The Lion","It all depends on the point of view, and who tells the story.","","","","aesop_children_19994","0","",""
"aesop_099","The Ass And The Lap Dog","Do not try to gain favor by acting in a way that is contrary to your own nature and character.","","","","aesop_children_19994","0","",""
"aesop_100","The Milkmaid And Her Pail","Do not count your chickens before they are hatched.","","","","aesop_children_19994","0","",""
"aesop_101","The Wolf And The Shepherd","Men often condemn others for what they see no wrong in doing themselves.","","","","aesop_children_19994","0","",""
"aesop_102","The Goatherd And The Goat","Wicked deeds will not stay hid.","","","","aesop_children_19994","0","",""
"aesop_103","The Miser","A possession is worth no more than the use we make of it.","","","","aesop_children_19994","0","",""
"aesop_104","The Wolf And The House Dog","There is nothing worth so much as liberty.","","","","aesop_children_19994","0","",""
"aesop_105","The Fox And The Hedgehog","Better to bear a lesser evil than to risk a greater in removing it.","","","","aesop_children_19994","0","",""
"aesop_106","The Bat And The Weasels","Set your sails with the wind.","","","","aesop_children_19994","0","",""
"aesop_107","The Quack Toad","Those who would mend others, should first mend themselves.","","","","aesop_children_19994","0","",""
"aesop_108","The Fox Without A Tail","Do not listen to the advice of him who seeks to lower you to his own level.","","","","aesop_children_19994","0","",""
"aesop_109","The Mischievous Dog","Notoriety is not fame.","","","","aesop_children_19994","0","",""
"aesop_110","The Rose And The Butterfly","Do not expect constancy in others if you have none yourself.","","","","aesop_children_19994","0","",""
"aesop_111","The Cat And The Fox","Common sense is always worth more than cunning.","","","","aesop_children_19994","0","",""
"aesop_112","The Boy And The Nettle","Whatever you do, do with all your might.","","","","aesop_children_19994","0","",""
"aesop_113","The Old Lion","It is cowardly to attack the defenseless, though he be an enemy.","","","","aesop_children_19994","0","",""
"aesop_114","The Fox And The Pheasants","Too much attention to danger may cause us to fall victims to it.","","","","aesop_children_19994","0","",""
"aesop_115","Two Travelers And A Bear","Misfortune is the test of true friendship.","","","","aesop_children_19994","0","",""
"aesop_116","The Porcupine And The Snakes","Give a finger and lose a hand.","","","","aesop_children_19994","0","",""
"aesop_117","The Fox And The Monkey","The true leader proves himself by his qualities.","","","","aesop_children_19994","0","",""
"aesop_118","The Mother And The Wolf","Do not believe everything you hear.","","","","aesop_children_19994","0","",""
"aesop_119","The Flies And The Honey","Be not greedy for a little passing pleasure. It may destroy you.","","","","aesop_children_19994","0","",""
"aesop_120","The Eagle And The Kite","Everything is fair in love.","","","","aesop_children_19994","0","",""
"aesop_121","The Stag, The Sheep, And The Wolf","Two blacks do not make a white.","","","","aesop_children_19994","0","",""
"aesop_122","The Animals And The Plague","The weak are made to suffer for the misdeeds of the powerful.","","","","aesop_children_19994","0","",""
"aesop_123","The Shepherd And The Lion","Do not foolishly ask for things that would bring ruin if they were granted.","","","","aesop_children_19994","0","",""
"aesop_124","The Dog And His Reflection","It is very foolish to be greedy.","","","","aesop_children_19994","0","",""
"aesop_125","The Hare And The Tortoise","The race is not always to the swift.","","","","aesop_children_19994","0","",""
"aesop_126","The Bees And Wasps, And The Hornet","Ability proves itself by deeds.","","","","aesop_children_19994","0","",""
"aesop_127","The Lark And Her Young Ones","Self-help is the best help.","","","","aesop_children_19994","0","",""
"aesop_128","The Cat And The Old Rat","The wise do not let themselves be tricked a second time.","","","","aesop_children_19994","0","",""
"aesop_129","The Fox And The Crow","The flatterer lives at the expense of those who will listen to him.","","","","aesop_children_19994","0","",""
"aesop_130","The Ass And Its Shadow","In quarreling about the shadow we often lose the substance.","","","","aesop_children_19994","0","",""
"aesop_131","The Miller, His Son, And The Ass","If you try to please all, you please none.","","","","aesop_children_19994","0","",""
"aesop_132","The Ant And The Dove","A kindness is never wasted.","","","","aesop_children_19994","0","",""
"aesop_133","The Man And The Satyr","The man who talks for both sides is not to be trusted by either.","","","","aesop_children_19994","0","",""
"aesop_134","The Wolf, The Kid, And The Goat","Two sureties are better than one.","","","","aesop_children_19994","0","",""
"aesop_135","The Swallow And The Crow","Friends in fine weather only, are not worth much.","","","","aesop_children_19994","0","",""
"aesop_136","Jupiter And The Monkey","Mother love is blind.","","","","aesop_children_19994","0","",""
"aesop_137","The Lion, The Ass, And The Fox","Learn from the misfortunes of others.","","","","aesop_children_19994","0","",""
"aesop_138","The Mole And His Mother","Boast of one thing and you will be found lacking in that and a few other things as well.","","","","aesop_children_19994","0","",""
"aesop_139","The North Wind And The Sun","Gentleness and kind persuasion win where force and bluster fail.","","","","aesop_children_19994","0","",""
"aesop_140","The Hare And His Ears","Your enemies will seize any excuse to attack you.","","","","aesop_children_19994","0","",""
"aesop_141","The Wolves And The Sheep","Do not give up friends for foes.","","","","aesop_children_19994","0","",""
"aesop_142","The Cock And The Fox","The wicked deserve no aid.","","","","aesop_children_19994","0","",""
"aesop_143","The Ass In The Lion'S Skin","A fool may deceive by his dress and appearance, but his words will soon show what he really is.","","","","aesop_children_19994","0","",""
"aesop_144","The Fisherman And The Little Fish","A small gain is worth more than a large promise.","","","","aesop_children_19994","0","",""
"aesop_145","The Fighting Cocks And The Eagle","Pride goes before a fall.","","","","aesop_children_19994","0","",""
